Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
525000,2013,184000,Duz,Dizel,Beyaz
859000,2021,71000,Otomatik,Benzin,Beyaz
222000,2001,245000,Duz,LPG & Benzin,Mavi
700000,2015,138000,Duz,Dizel,Beyaz
985000,2023,29000,Otomatik,Benzin,Kırmızı
410000,2004,185000,Duz,LPG & Benzin,Gri (Gümüş)
789999,2017,140000,Otomatik,Dizel,Beyaz
365000,2008,230000,Duz,Benzin,Gri
887500,2022,55000,Otomatik,Benzin,Mavi (metalik)
498750,2012,92000,Duz,Benzin,Beyaz
740000,2021,75000,Otomatik,Benzin,Beyaz
478500,2013,157000,Duz,Benzin,Siyah
970000,2023,30000,Otomatik,Benzin,Beyaz
385000,2006,270000,Duz,Benzin,Siyah
315000,2006,339140,Duz,Dizel,Bej
783900,2020,110500,Otomatik,Benzin,Beyaz
637500,2017,85000,Duz,Benzin,Beyaz
484000,2009,191245,Yari Otomatik,Dizel,Siyah
895000,2022,52000,Otomatik,Benzin,Beyaz
485000,2008,75000,Duz,Benzin,Mavi
749000,2018,176000,Otomatik,Dizel,Beyaz
235000,1998,225000,Duz,LPG & Benzin,Siyah
379000,2010,239000,Duz,Dizel,Gri
1029950,2023,30000,Otomatik,Benzin,Beyaz
483000,2009,191242,Yari Otomatik,Dizel,Siyah
339500,2008,240000,Duz,LPG & Benzin,Gri
620000,2014,163000,Otomatik,Dizel,Beyaz
430000,2014,289000,Duz,Dizel,Beyaz
599000,2012,116000,Duz,Benzin,Kırmızı
365000,2005,214000,Duz,LPG & Benzin,Gri
1089000,2024,41594,Otomatik,Benzin,Gri (metalik)
582000,2014,67500,Duz,Benzin,Kırmızı
625000,2017,235000,Otomatik,Dizel,Beyaz
815000,2017,160000,Otomatik,Dizel,Beyaz
615000,2016,104000,Duz,Dizel,Kırmızı
445000,2017,235000,Duz,Dizel,Beyaz
889000,2021,62020,Otomatik,Benzin,Füme
199000,1998,265000,Duz,LPG & Benzin,Kırmızı
515000,2012,172000,Duz,Dizel,Gri
720000,2020,60015,Duz,Benzin,Beyaz
583000,2013,111000,Duz,Benzin,Beyaz
818000,2022,59500,Otomatik,Benzin,Beyaz
705000,2017,126000,Duz,Dizel,Kırmızı
273750,2005,274000,Duz,Dizel,Beyaz
705000,2020,73000,Duz,LPG & Benzin,Beyaz
612500,2017,185000,Duz,Dizel,Beyaz
675000,2019,115000,Duz,Benzin,Beyaz
995000,2023,8500,Otomatik,Benzin,Füme
798000,2016,166000,Yari Otomatik,Dizel,Kırmızı
679000,2015,116000,Duz,Dizel,Beyaz
290000,2001,153000,Duz,LPG & Benzin,Lacivert
854750,2021,67934,Otomatik,Benzin,Kırmızı
570000,2015,213000,Duz,Dizel,Füme
634500,2015,101000,Duz,Dizel,Mavi
780000,2015,138000,Yari Otomatik,Dizel,Kırmızı
510000,2004,84000,Otomatik,LPG & Benzin,Beyaz
428000,2010,200000,Duz,Dizel,Gri (Gümüş)
350000,2012,236000,Duz,Dizel,Gri
775000,2017,143000,Duz,Dizel,Beyaz
625000,2015,125000,Duz,Dizel,Beyaz
730000,2017,53500,Duz,Benzin,Beyaz
465000,2009,189000,Duz,Dizel,Gri
360000,2007,345000,Duz,Dizel,Gri (Gümüş)
428000,2009,220000,Duz,Dizel,Gri
192000,2000,280000,Duz,Benzin,Lacivert
495000,2013,183000,Duz,Dizel,Siyah
835000,2023,14700,Duz,Benzin,Gri (metalik)
850000,2020,58000,Yari Otomatik,Benzin,Gri
860000,2023,14000,Duz,Benzin,Kırmızı
290000,2004,253000,Duz,Dizel,Gri (Gümüş)
895000,2022,27000,Otomatik,Benzin,Beyaz
920000,2020,65000,Yari Otomatik,Benzin,Beyaz
345000,2006,233000,Duz,LPG & Benzin,Gri (Gümüş)
295000,2000,263000,Duz,LPG & Benzin,Mor
920000,2023,17000,Duz,Benzin,Kırmızı
350000,2007,286000,Duz,LPG & Benzin,Gri
300000,2003,316000,Duz,Dizel,Beyaz
785000,2019,119000,Yari Otomatik,Dizel,Füme
560000,2014,125000,Duz,LPG & Benzin,Beyaz
660000,2016,130000,Otomatik,Dizel,Beyaz
649000,2017,145205,Otomatik,Dizel,Beyaz
780000,2017,80000,Duz,Dizel,Bordo
999900,2024,23175,Otomatik,Benzin,Beyaz
271000,2005,231000,Duz,Dizel,Gri
460000,2014,220000,Duz,Dizel,Beyaz
607000,2013,58000,Duz,LPG & Benzin,Beyaz
695000,2019,59500,Duz,Benzin,Beyaz
410000,2007,180000,Duz,Benzin,Gri (titanyum)
418000,2010,229000,Duz,Dizel,Gri (Gümüş)
738000,2018,119850,Yari Otomatik,Dizel,Beyaz
675000,2019,150000,Duz,Dizel,Beyaz
625000,2019,150000,Duz,Benzin,Beyaz
285000,2005,265000,Duz,Dizel,Gri (Gümüş)
815000,2020,108000,Otomatik,Benzin,Mavi
710000,2021,116000,Otomatik,Benzin,Beyaz
530000,2013,95000,Duz,Benzin,Kırmızı
330000,2005,214000,Duz,Dizel,Gri
160000,1999,350000,Duz,Dizel,Beyaz
835000,2020,59000,Otomatik,Benzin,Mavi
638000,2020,98000,Duz,Benzin,Beyaz
310000,2001,224000,Duz,LPG & Benzin,Gri (Gümüş)
228000,2001,341000,Duz,LPG & Benzin,Gri (Gümüş)
350000,2007,241000,Duz,Dizel,Gri (Gümüş)
328500,2002,319000,Duz,LPG & Benzin,Mavi
260000,2007,212000,Duz,Dizel,Gri (Gümüş)
350000,2009,311400,Duz,Dizel,Gri
710000,2020,120000,Duz,Benzin,Kırmızı
610000,2014,166000,Yari Otomatik,Benzin,Kırmızı
590000,2016,197000,Duz,Dizel,Beyaz
235000,2006,330000,Duz,Dizel,Gri (Gümüş)
300000,2005,326000,Duz,Dizel,Lacivert
558900,2012,224000,Duz,Dizel,Siyah
300000,2002,300000,Duz,Dizel,Gri (metalik)
335000,2008,239000,Duz,Dizel,Gri
850000,2021,60000,Otomatik,Benzin,Beyaz
435000,2006,130000,Duz,LPG & Benzin,Beyaz
510000,2011,217000,Duz,Dizel,Beyaz
947500,2023,15900,Otomatik,Benzin,Gri (metalik)
200000,1998,243000,Duz,LPG & Benzin,Mavi
545000,2012,182000,Duz,LPG & Benzin,Beyaz
330000,2004,205000,Duz,LPG & Benzin,Gri (Gümüş)
855000,2020,45000,Duz,Benzin,Beyaz
510000,2009,145000,Duz,Benzin,Kırmızı
555000,2012,132000,Duz,Dizel,Gri (Gümüş)
368000,2005,294000,Duz,LPG & Benzin,Gri
522000,2013,196000,Duz,Dizel,Beyaz
565000,2016,167500,Duz,Dizel,Beyaz
390000,2006,183000,Duz,LPG & Benzin,Beyaz
735000,2022,37000,Duz,Benzin,Beyaz
915000,2022,8960,Otomatik,Benzin,Beyaz
255000,2003,286000,Duz,Dizel,Kırmızı
800000,2020,155000,Otomatik,Benzin,Beyaz
330000,2006,294000,Duz,LPG & Benzin,Gri (Gümüş)
358000,2005,277000,Duz,LPG & Benzin,Beyaz
280000,1998,297000,Duz,LPG & Benzin,Kırmızı
780000,2021,104000,Duz,LPG & Benzin,Beyaz
330000,2004,118000,Duz,LPG & Benzin,Beyaz
690000,2018,110000,Duz,Dizel,Beyaz
785000,2020,32000,Duz,Benzin,Gri (titanyum)
510000,2013,206000,Duz,LPG & Benzin,Beyaz
390000,2006,220000,Duz,LPG & Benzin,Gri
485000,2008,110000,Yari Otomatik,Benzin,Gri
