Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
950000,2019,135000,Otomatik,Hibrit,Gri (Gümüş)
1059000,2020,114400,Otomatik,LPG & Benzin,Beyaz
490000,2003,229000,Duz,LPG & Benzin,Gri (Gümüş)
330000,1999,220646,Duz,LPG & Benzin,Beyaz
285000,1993,385000,Otomatik,LPG & Benzin,Sarı
255000,1998,300000,Duz,LPG & Benzin,Bej
1260000,2022,56900,Otomatik,Benzin,Mavi
868000,2013,165000,Duz,Benzin,Beyaz
705000,2009,130000,Yari Otomatik,Dizel,Gri (metalik)
960000,2020,156000,Otomatik,Hibrit,Beyaz
875000,2015,191000,Otomatik,LPG & Benzin,Beyaz
650000,2008,131000,Duz,Benzin,Mavi (metalik)
1279000,2022,12000,Otomatik,Benzin,Mavi (metalik)
400000,2006,242500,Yari Otomatik,Dizel,Siyah
690000,2009,225000,Yari Otomatik,Dizel,Gri
1175000,2018,94000,Otomatik,LPG & Benzin,Beyaz
770000,2013,140000,Duz,Dizel,Beyaz
599000,2005,115000,Duz,Benzin,Gri (Gümüş)
1069000,2020,113000,Otomatik,Hibrit,Beyaz
1285000,2022,81000,Otomatik,Benzin,Gri
820000,2016,86000,Duz,LPG & Benzin,Beyaz
590000,2008,235000,Otomatik,Dizel,Gri
979000,2020,136000,Otomatik,Hibrit,Beyaz
1069000,2021,78000,Otomatik,Hibrit,Mavi (metalik)
255000,1998,300000,Duz,LPG & Benzin,Bej
420000,2004,400000,Otomatik,LPG & Benzin,Gri
1320000,2019,28000,Otomatik,LPG & Benzin,Beyaz
585000,2007,177000,Duz,LPG & Benzin,Gri
1297500,2020,67000,Otomatik,LPG & Benzin,Beyaz
285000,1998,224500,Duz,LPG & Benzin,Beyaz
1298750,2024,20200,Otomatik,Benzin,Beyaz
1099000,2021,105000,Otomatik,LPG & Benzin,Mavi
1049000,2021,122000,Otomatik,Hibrit,Beyaz
760000,2014,135000,Duz,Benzin,Beyaz
310000,1995,340000,Duz,LPG & Benzin,Beyaz
905000,2017,135000,Duz,LPG & Benzin,Beyaz
585000,2006,241000,Otomatik,LPG & Benzin,Gri
350000,1997,325000,Duz,LPG & Benzin,Beyaz
1095001,2017,105000,Otomatik,LPG & Benzin,Beyaz
1195000,2020,66959,Otomatik,Benzin,Gri
1399000,2022,43000,Otomatik,Hibrit,Gri
250000,1998,305000,Duz,LPG & Benzin,Gri (Gümüş)
430000,2001,318000,Duz,LPG & Benzin,Gri (Gümüş)
859750,2018,40000,Duz,Benzin,Gri (Gümüş)
1850000,2024,13500,Otomatik,Hibrit,Gri (Gümüş)
389000,2006,275000,Duz,Benzin,Gri
1095000,2020,75000,Otomatik,LPG & Benzin,Beyaz
868000,2013,165000,Duz,LPG & Benzin,Beyaz
615500,2006,150000,Yari Otomatik,Dizel,Gri (metalik)
409999,2007,218000,Duz,LPG & Benzin,Füme
935000,2020,187000,Otomatik,Hibrit,Beyaz
659000,2014,113500,Duz,Benzin,Beyaz
644500,2018,42000,Duz,LPG & Benzin,Beyaz
525000,2004,279600,Duz,LPG & Benzin,Beyaz
1825000,2023,9750,Otomatik,Hibrit,Beyaz
1160000,2021,87000,Otomatik,Hibrit,Gri (Gümüş)
255000,1991,317000,Duz,LPG & Benzin,Kırmızı
1095000,2020,110000,Otomatik,Benzin,Siyah
725000,2011,200000,Otomatik,LPG & Benzin,Siyah
520000,2008,242000,Duz,Dizel,Gri (Gümüş)
1280000,2022,13500,Otomatik,Benzin,Gri
495000,2006,308000,Otomatik,LPG & Benzin,Siyah
790000,2014,115000,Duz,Benzin,Kahverengi
513000,2009,262000,Duz,Dizel,Gri (Gümüş)
705000,2014,230000,Duz,Dizel,Beyaz
1600000,2023,12000,Otomatik,Benzin,Beyaz
240000,1992,472000,Duz,LPG & Benzin,Beyaz
390000,2006,370000,Duz,Dizel,Gri
610000,2009,250000,Yari Otomatik,LPG & Benzin,Gri
325000,1993,358000,Duz,LPG & Benzin,Bej
370000,1994,268000,Duz,LPG & Benzin,Bordo
700000,2008,164000,Duz,LPG & Benzin,Gri
1305000,2023,21800,Otomatik,LPG & Benzin,Beyaz
495000,2008,304000,Yari Otomatik,Dizel,Siyah
1290000,2022,31000,Otomatik,LPG & Benzin,Beyaz
1010000,2017,119820,Duz,LPG & Benzin,Beyaz
480000,2006,190000,Duz,Dizel,Gri (Gümüş)
320000,2001,381000,Duz,LPG & Benzin,Gri
432500,2007,319000,Duz,Dizel,Mavi (metalik)
520000,2012,273000,Yari Otomatik,Dizel,Gri (metalik)
320000,1995,250000,Duz,LPG & Benzin,Lacivert
1000030,2023,26000,Otomatik,Benzin,Beyaz
635000,2011,195000,Duz,Dizel,Gri (Gümüş)
490000,2008,309000,Yari Otomatik,Dizel,Siyah
715000,2013,170000,Duz,Dizel,Beyaz
989750,2021,100500,Otomatik,Benzin,Siyah
485000,2004,300000,Otomatik,LPG & Benzin,Lacivert
255000,1998,298000,Duz,LPG & Benzin,Beyaz
825000,2013,152750,Otomatik,Dizel,Beyaz
575000,2008,249000,Yari Otomatik,Dizel,Gri
745000,2014,225000,Otomatik,Dizel,Beyaz
1230000,2022,46300,Otomatik,Benzin,Beyaz
1010000,2015,150000,Duz,LPG & Benzin,Beyaz
335000,2006,254000,Yari Otomatik,Dizel,Gri
670000,2014,131000,Duz,Benzin,Beyaz
610000,2009,174550,Duz,LPG & Benzin,Siyah
385000,1996,410000,Duz,LPG & Benzin,Bej
460000,2002,237000,Duz,LPG & Benzin,Mavi (metalik)
505000,2006,190000,Duz,LPG & Benzin,Füme
1160000,2020,68000,Otomatik,Hibrit,Gri (titanyum)
627900,2012,198200,Duz,Dizel,Beyaz
1130000,2020,98000,Otomatik,LPG & Benzin,Bej
498000,2006,203000,Otomatik,Dizel,Gri
338000,1999,277000,Duz,LPG & Benzin,Gri
945000,2016,140650,Otomatik,Dizel,Bej
259000,1998,334000,Duz,LPG & Benzin,Gri
230000,2000,320000,Duz,LPG & Benzin,Gri
915000,2015,137000,Duz,LPG & Benzin,Beyaz
985750,2019,329000,Yari Otomatik,Benzin,Gri (Gümüş)
1198750,2022,33800,Otomatik,Benzin,Gri
1095000,2020,107000,Otomatik,LPG & Benzin,Beyaz
325750,1993,340000,Duz,LPG & Benzin,Gri
922000,2015,160000,Otomatik,LPG & Benzin,Beyaz
775000,2013,159977,Otomatik,Dizel,Kahverengi
455000,2007,312000,Otomatik,Dizel,Gri
705000,2005,51000,Duz,Benzin,Mavi (metalik)
1050000,2020,146000,Otomatik,Hibrit,Gri (Gümüş)
950000,2018,179000,Yari Otomatik,Dizel,Beyaz
1285000,2022,65000,Otomatik,Benzin,Beyaz
570000,2007,252000,Otomatik,Dizel,Gri
863500,2010,60000,Duz,Benzin,Gri
759000,2011,195000,Duz,Benzin,Füme
691000,2014,218000,Otomatik,Dizel,Beyaz
355000,1997,220000,Duz,LPG & Benzin,Beyaz
510000,2011,253000,Duz,Dizel,Siyah
330000,2001,320000,Duz,LPG & Benzin,Gri
499000,2010,305000,Duz,Dizel,Gri (Gümüş)
825000,2014,169500,Duz,Dizel,Beyaz
1095000,2021,110191,Otomatik,Benzin,Beyaz
830000,2014,196000,Yari Otomatik,Dizel,Beyaz
310000,2000,311000,Duz,LPG & Benzin,Gri (Gümüş)
1398000,2022,20500,Otomatik,Benzin,Gri
980000,2016,120000,Duz,Benzin,Beyaz
825000,2017,210000,Yari Otomatik,Dizel,Beyaz
1200000,2021,55000,Otomatik,Hibrit,Beyaz
400000,2000,288000,Otomatik,LPG & Benzin,Şampanya
599000,2008,192000,Duz,Dizel,Gri (Gümüş)
1115000,2019,73000,Otomatik,Hibrit,Mavi (metalik)
1259900,2021,90000,Otomatik,LPG & Benzin,Mavi
1252000,2021,48000,Otomatik,LPG & Benzin,Gri
685000,2009,137000,Duz,Dizel,Füme
1185000,2019,160000,Otomatik,LPG & Benzin,Beyaz
335000,1999,261000,Duz,LPG & Benzin,Mavi
865000,2013,190000,Otomatik,Dizel,Gri
295000,1993,323000,Duz,LPG & Benzin,Bordo
1040000,2020,92195,Otomatik,Benzin,Beyaz
1185000,2019,87000,Otomatik,LPG & Benzin,Beyaz
600000,2011,275000,Otomatik,LPG & Benzin,Gri (Gümüş)
1290000,2020,26500,Yari Otomatik,LPG & Benzin,Beyaz
485000,2018,650000,Duz,Dizel,Beyaz
465000,2008,188366,Yari Otomatik,Dizel,Gri
545000,2012,188000,Otomatik,Benzin,Gri (Gümüş)
1759000,2023,61000,Otomatik,LPG & Benzin,Beyaz
660000,2009,148000,Duz,Dizel,Gri
230000,1996,425000,Duz,LPG & Benzin,Bej
1325000,2021,98887,Otomatik,Hibrit,Beyaz
410000,2000,318201,Duz,LPG & Benzin,Bej
1324950,2022,43500,Otomatik,Benzin,Mavi
449000,1998,239000,Duz,LPG & Benzin,Beyaz
899900,2020,133100,Otomatik,LPG & Benzin,Beyaz
1275000,2023,25000,Otomatik,Benzin,Beyaz
685000,2011,228000,Otomatik,LPG & Benzin,Beyaz
630000,2009,260000,Yari Otomatik,Dizel,Gri
1085000,2021,124500,Otomatik,Benzin,Beyaz
650000,2011,225000,Duz,Dizel,Füme
1385000,2020,88900,Otomatik,Benzin,Mavi (metalik)
270000,1994,268000,Duz,LPG & Benzin,Beyaz
965000,2020,78000,Otomatik,LPG & Benzin,Beyaz
1115000,2020,115000,Otomatik,LPG & Benzin,Beyaz
240000,1992,298000,Duz,LPG & Benzin,Kırmızı
430000,2004,306000,Duz,LPG & Benzin,Gri
1130000,2022,76000,Otomatik,Benzin,Beyaz
1139999,2018,65000,Duz,LPG & Benzin,Beyaz
390000,2001,259000,Duz,LPG & Benzin,Beyaz
400000,2006,240600,Otomatik,LPG & Benzin,Gri (Gümüş)
937000,2020,130163,Otomatik,Benzin,Gri
319000,1998,336000,Duz,LPG & Benzin,Beyaz
829950,2017,183000,Otomatik,Dizel,Beyaz
675000,2010,213000,Duz,Dizel,Gri
410000,2005,330000,Duz,LPG & Benzin,Gri (Gümüş)
300000,1996,315000,Duz,LPG & Benzin,Gri (Gümüş)
