Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
959900.0,2024,37000,Duz,Dizel,Mavi
649500.0,2019,137000,Duz,Dizel,Beyaz
1023000.0,2022,50000,Otomatik,Dizel,Beyaz
850000.0,2023,45000,Duz,Benzin,Füme
630000.0,2017,99000,Duz,Benzin,Kırmızı
759000.0,2020,124000,Duz,Dizel,Beyaz
845000.0,2024,10800,Duz,Benzin,Füme
686900.0,2020,182000,Duz,Dizel,Beyaz
444950.0,2017,319000,Duz,Dizel,Beyaz
644500.0,2022,59000,Duz,Benzin,Beyaz
790000.0,2020,94000,Yari Otomatik,Dizel,Beyaz
709850.0,2021,99000,Duz,Dizel,Beyaz
385000.0,2017,334780,Duz,Benzin,Beyaz
865000.0,2023,57000,Duz,Dizel,Mavi
719000.0,2022,105000,Duz,Dizel,Beyaz
720000.0,2017,118000,Duz,Dizel,Siyah
810000.0,2023,66500,Duz,Dizel,Beyaz
745000.0,2021,48000,Duz,LPG & Benzin,Beyaz
827500.0,2023,22900,Duz,Dizel,Beyaz
853500.0,2020,139750,Yari Otomatik,Dizel,Gri
775000.0,2020,126000,Otomatik,Dizel,Beyaz
969900.0,2024,21000,Duz,Dizel,Mavi
870000.0,2023,18000,Duz,Dizel,Gri
662500.0,2019,120000,Duz,Dizel,Beyaz
819900.0,2023,92000,Duz,Dizel,Beyaz
909000.0,2023,37000,Duz,Dizel,Gri
789000.0,2023,14500,Duz,Benzin,Füme
585000.0,2021,189000,Duz,Benzin,Beyaz
809750.0,2021,32000,Duz,Benzin,Turuncu
734750.0,2024,28800,Duz,Benzin,Beyaz
776000.0,2024,7000,Duz,Benzin,Beyaz
645000.0,2020,70000,Duz,Benzin,Beyaz
979900.0,2023,23000,Yari Otomatik,Dizel,Beyaz
930000.0,2021,24500,Duz,LPG & Benzin,Turuncu
759000.0,2021,104000,Duz,Dizel,Beyaz
1154000.0,2023,11700,Otomatik,Hibrit,Mavi
600000.0,2016,186000,Duz,Dizel,Beyaz
585000.0,2017,183000,Duz,Dizel,Beyaz
559950.0,2020,205000,Duz,Dizel,Beyaz
634000.0,2016,165000,Duz,Dizel,Beyaz
639000.0,2020,119000,Duz,Dizel,Beyaz
855000.0,2023,6001,Duz,LPG & Benzin,Füme
969900.0,2024,25000,Duz,Dizel,Gri
939900.0,2022,45000,Otomatik,Dizel,Beyaz
851000.0,2023,49000,Duz,Dizel,Beyaz
860000.0,2023,12000,Duz,Benzin,Beyaz
599900.0,2017,142000,Duz,Benzin,Beyaz
725000.0,2018,144000,Yari Otomatik,Dizel,Beyaz
666000.0,2020,52000,Duz,Benzin,Kırmızı
640000.0,2020,125000,Duz,Dizel,Beyaz
705000.0,2020,47500,Duz,LPG & Benzin,Gri
805000.0,2022,69000,Duz,LPG & Benzin,Füme
645000.0,2020,117000,Duz,Dizel,Beyaz
579000.0,2018,189000,Duz,Dizel,Beyaz
610000.0,2019,199000,Duz,Dizel,Beyaz
615000.0,2019,52500,Duz,LPG & Benzin,Beyaz
747500.0,2024,22000,Duz,Benzin,Beyaz
735000.0,2022,48000,Duz,Benzin,Gri
725900.0,2017,163500,Yari Otomatik,Dizel,Beyaz
725000.0,2020,52850,Duz,Benzin,Bordo
750000.0,2021,20000,Duz,Benzin,Gri
678000.0,2021,129115,Duz,Dizel,Beyaz
945000.0,2023,13700,Duz,Benzin,Gri (metalik)
765000.0,2018,91600,Yari Otomatik,Dizel,Beyaz
670000.0,2021,107000,Duz,Benzin,Gri
857500.0,2023,22000,Duz,Benzin,Mavi
512000.0,2018,580000,Duz,Dizel,Beyaz
715000.0,2020,205000,Duz,Dizel,Beyaz
500000.0,2019,131500,Duz,Benzin,Beyaz
660000.0,2020,141000,Duz,Dizel,Gri
775000.0,2019,138500,Yari Otomatik,Dizel,Beyaz
715000.0,2020,28500,Duz,Benzin,Beyaz
770000.0,2023,24000,Duz,Benzin,Füme
755000.0,2016,114000,Otomatik,Benzin,Beyaz
835000.0,2022,36000,Duz,Dizel,Beyaz
740000.0,2021,19200,Duz,LPG & Benzin,Diğer
800000.0,2019,19000,Duz,Benzin,Beyaz
699000.0,2016,154000,Duz,Dizel,Beyaz
815000.0,2023,29500,Duz,Benzin,Mavi (metalik)
860000.0,2023,21000,Duz,Dizel,Füme
670000.0,2018,92000,Duz,Benzin,Beyaz
820000.0,2023,19400,Duz,Benzin,Yeşil (metalik)
730000.0,2020,48000,Duz,Benzin,Kırmızı
820000.0,2019,133000,Yari Otomatik,Dizel,Beyaz
680000.0,2019,41000,Duz,Benzin,Beyaz
890000.0,2021,155555,Duz,Dizel,Mavi (metalik)
858000.0,2019,126000,Yari Otomatik,Dizel,Beyaz
735000.0,2020,39000,Duz,Benzin,Gri
690000.0,2016,132000,Yari Otomatik,Dizel,Beyaz
680000.0,2020,75000,Duz,Benzin,Beyaz
645000.0,2017,235000,Yari Otomatik,Dizel,Lacivert
920000.0,2023,13600,Duz,LPG & Benzin,Gri (metalik)
790000.0,2023,28850,Duz,Benzin,Mavi
825000.0,2023,20000,Duz,Benzin,Beyaz
837000.0,2022,37000,Duz,Benzin,Beyaz
479500.0,2017,258000,Duz,Dizel,Beyaz
1000000.0,2024,6000,Duz,Benzin,Mavi (metalik)
850000.0,2023,6002,Duz,Benzin,Mavi
790000.0,2023,17000,Duz,Benzin,Mavi (metalik)
760000.0,2020,180000,Yari Otomatik,Dizel,Beyaz
710000.0,2022,37000,Duz,Dizel,Beyaz
